"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total Number Tested at Entity Level and Demographic","Total Number Tested with Valid Scores at this Demographic","Grade","Test Id","CAA Science Reported Enrollment","Total Number of Students Tested","Mean Percent Correct","Percentage in Preliminary Indicator Category 1","Percentage in Preliminary Indicator Category 2","Percentage in Preliminary Indicator Category 3","Total Number of Students with Valid Scores"
"27","00000","0000000","","2019","1","Y","137","137","5","18","64","60","60.0","10.00","81.67","8.33","60"
"27","00000","0000000","","2019","1","Y","137","137","8","18","46","36","62.4","13.89","77.78","8.33","36"
"27","00000","0000000","","2019","1","Y","137","137","10","18","7","6","*","*","*","*","6"
"27","00000","0000000","","2019","1","Y","137","137","11","18","*","*","*","*","*","*","*"
"27","00000","0000000","","2019","1","Y","137","137","12","18","61","32","49.2","18.75","71.88","9.38","32"
"27","00000","0000000","","2019","1","Y","137","137","13","18","194","137","","12.41","77.37","10.22","137"
"27","00000","0000000","","2019","3","Y","102","102","5","18","46","44","61.8","9.09","79.55","11.36","44"
"27","00000","0000000","","2019","3","Y","102","102","8","18","34","26","64.9","11.54","76.92","11.54","26"
"27","00000","0000000","","2019","3","Y","102","102","10","18","6","6","*","*","*","*","6"
"27","00000","0000000","","2019","3","Y","102","102","11","18","*","*","*","*","*","*","*"
"27","00000","0000000","","2019","3","Y","102","102","12","18","43","24","53.9","16.67","70.83","12.50","24"
"27","00000","0000000","","2019","3","Y","102","102","13","18","139","102","","10.78","75.49","13.73","102"
"27","00000","0000000","","2019","4","Y","35","35","5","18","18","16","55.1","12.50","87.50","0.00","16"
"27","00000","0000000","","2019","4","Y","35","35","8","18","12","10","*","*","*","*","10"
"27","00000","0000000","","2019","4","Y","35","35","10","18","*","*","*","*","*","*","*"
"27","00000","0000000","","2019","4","Y","35","35","11","18","*","*","*","*","*","*","*"
"27","00000","0000000","","2019","4","Y","35","35","12","18","18","8","*","*","*","*","8"
"27","00000","0000000","","2019","4","Y","35","35","13","18","55","35","","17.14","82.86","0.00","35"
"27","00000","0000000","","2019","6","Y","69","69","5","18","22","21","69.2","0.00","85.71","14.29","21"
"27","00000","0000000","","2019","6","Y","69","69","8","18","25","20","63.2","10.00","85.00","5.00","20"
"27","00000","0000000","","2019","6","Y","69","69","10","18","5","4","*","*","*","*","4"
"27","00000","0000000","","2019","6","Y","69","69","11","18","*","*","*","*","*","*","*"
"27","00000","0000000","","2019","6","Y","69","69","12","18","46","23","49.7","21.74","69.57","8.70","23"
"27","00000","0000000","","2019","6","Y","69","69","13","18","105","69","","10.14","76.81","13.04","69"
"27","00000","0000000","","2019","7","Y","*","*","5","18","*","*","*","*","*","*","*"
"27","00000","0000000","","2019","7","Y","*","*","13","18","*","*","","*","*","*","*"
"27","00000","0000000","","2019","8","Y","17","17","5","18","*","*","*","*","*","*","*"
"27","00000","0000000","","2019","8","Y","17","17","8","18","*","*","*","*","*","*","*"
"27","00000","0000000","","2019","8","Y","17","17","10","18","*","*","*","*","*","*","*"
"27","00000","0000000","","2019","8","Y","17","17","11","18","*","*","*","*","*","*","*"
"27","00000","0000000","","2019","8","Y","17","17","12","18","12","9","*","*","*","*","9"
"27","00000","0000000","","2019","8","Y","17","17","13","18","25","17","","5.88","70.59","23.53","17"
"27","00000","0000000","","2019","28","Y","*","*","8","18","*","*","*","*","*","*","*"
"27","00000","0000000","","2019","28","Y","*","*","12","18","*","*","*","*","*","*","*"
"27","00000","0000000","","2019","28","Y","*","*","13","18","*","*","","*","*","*","*"
"27","00000","0000000","","2019","31","Y","96","96","5","18","48","45","60.6","8.89","84.44","6.67","45"
"27","00000","0000000","","2019","31","Y","96","96","8","18","28","23","62.0","13.04","82.61","4.35","23"
"27","00000","0000000","","2019","31","Y","96","96","10","18","6","6","*","*","*","*","6"
"27","00000","0000000","","2019","31","Y","96","96","11","18","*","*","*","*","*","*","*"
"27","00000","0000000","","2019","31","Y","96","96","12","18","35","20","56.0","10.00","75.00","15.00","20"
"27","00000","0000000","","2019","31","Y","96","96","13","18","129","96","","9.38","80.21","10.42","96"
"27","00000","0000000","","2019","50","Y","*","*","5","18","*","*","*","*","*","*","*"
"27","00000","0000000","","2019","50","Y","*","*","8","18","*","*","*","*","*","*","*"
"27","00000","0000000","","2019","50","Y","*","*","11","18","*","*","*","*","*","*","*"
"27","00000","0000000","","2019","50","Y","*","*","13","18","*","*","","*","*","*","*"
"27","00000","0000000","","2019","51","Y","135","135","5","18","63","59","59.7","10.17","81.36","8.47","59"
"27","00000","0000000","","2019","51","Y","135","135","8","18","45","35","62.3","14.29","77.14","8.57","35"
"27","00000","0000000","","2019","51","Y","135","135","10","18","7","6","*","*","*","*","6"
"27","00000","0000000","","2019","51","Y","135","135","11","18","*","*","*","*","*","*","*"
"27","00000","0000000","","2019","51","Y","135","135","12","18","61","32","49.2","18.75","71.88","9.38","32"
"27","00000","0000000","","2019","51","Y","135","135","13","18","191","135","","12.59","77.04","10.37","135"
"27","00000","0000000","","2019","52","Y","12","12","5","18","9","8","*","*","*","*","8"
